Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries
Developer,data analyst,Wipro,"Hyderabad, Telangana, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Azure Data Engineer,data analyst,Whiz Global LLC,"Noida, Uttar Pradesh, India",1 hour ago,,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Developer,data analyst,Wipro,"Hyderabad, Telangana, India",5 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Senior Data Engineer - GCAB - Pune,data analyst,Getinz,"Pune, Maharashtra, India",17 hours ago,,Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Python Developer,data analyst,ValueLabs,"Hyderabad, Telangana, India",3 hours ago,133 applicants,Mid-Senior level,Full-time,Business Development,IT Services and IT Consulting
Security Engineer,data analyst,EY,"Kochi, Kerala, India",5 hours ago,,Associate,Full-time,Information Technology,IT Services and IT Consulting
484882,data analyst,"Fusion Plus Solutions, Inc.","Hyderabad, Telangana, India",19 hours ago,,Entry level,Full-time,Other,IT Services and IT Consulting
(IND) Systems and Infrastructure Engineer II,data analyst,Walmart Global Tech India,"Chennai, Tamil Nadu, India",5 hours ago,57 applicants,Mid-Senior level,Full-time,Information Technology,Software Development
MS Dynamics 365 Engineer,data analyst,"Convene, Inc.","Chennai, Tamil Nadu, India",50 minutes ago,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Developer,data analyst,Wipro,"Sadar, Uttar Pradesh, India",5 hours ago,51 applicants,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
System Engineer,data analyst,LiftOff LLC,"Bengaluru, Karnataka, India",5 hours ago,,Mid-Senior level,Full-time,Information Technology,Software Development
Developer,data analyst,Wipro,"Hyderabad, Telangana, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Lead Engineer Big Data,data analyst,EPAM Systems,"Hyderabad, Telangana, India",5 hours ago,44 applicants,Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",Software Development and IT Services and IT Consulting
Lead Python for Product based Startup Company-Pune(Remote),data analyst,Seventh Contact Hiring Solutions,"Pune, Maharashtra, India",8 hours ago,,Mid-Senior level,Full-time,Analyst,IT Services and IT Consulting
Math Research Analyst,data analyst,Turing,Mumbai Metropolitan Region,4 hours ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development
Senior Data Modeller,data analyst,PureSoftware Ltd,"Bengaluru, Karnataka, India",5 hours ago,,Mid-Senior level,Full-time,"Design, Art/Creative, and Information Technology",Pharmaceutical Manufacturing
Applications Developer - India,data analyst,BMC Software,"Pune, Maharashtra, India",22 hours ago,29 applicants,Not Applicable,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development"
Developer,data analyst,Wipro,"Hyderabad, Telangana, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Associate Lead Statistical Programmer,data analyst,Elanco,"Bengaluru East, Karnataka, India",5 hours ago,30 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing
Associate Principal Engineer (Temenos Transact),data analyst,Nagarro,India,23 hours ago,,Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting
Engineer I [T500-13189],data analyst,lululemon,"Bengaluru, Karnataka, India",,72 applicants,Mid-Senior level,Full-time,Information Technology and Engineering,Retail
Developer,data analyst,Wipro,"Pune, Maharashtra, India",23 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Developer,data analyst,Wipro,"Bengaluru, Karnataka, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Security Engineer,data analyst,EY,"Gurugram, Haryana, India",5 hours ago,,Associate,Full-time,Information Technology,IT Services and IT Consulting
Math Research Analyst,data analyst,Turing,Greater Bengaluru Area,4 hours ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development
Math Research Analyst,data analyst,Turing,Greater Bengaluru Area,4 hours ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development
Artificial Intelligence Researcher,data analyst,Recro,India,4 hours ago,57 applicants,Mid-Senior level,Full-time,Research,Software Development and Research Services
Consulting Engineer - Security - Mumbai,data analyst,Cisco,Mumbai Metropolitan Region,3 hours ago,,Not Applicable,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Computer Networking Products"
SSRS Developer,data analyst,Gainwell Technologies,"Bengaluru, Karnataka, India",,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Senior Data Engineer - Google Cloud Platform,data analyst,USEReady,"Bengaluru, Karnataka, India",23 hours ago,,Mid-Senior level,Full-time,Information Technology,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development"
Performance Analyst [T500-12824],data analyst,Inspire,"Hyderabad, Telangana, India",4 hours ago,186 applicants,Mid-Senior level,Full-time,"Information Technology, Analyst, and Engineering",Retail
Math Research Analyst,data analyst,Turing,Greater Chennai Area,4 hours ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development
Lead Engineer Big Data,data analyst,EPAM Systems,"Gurugram, Haryana, India",5 hours ago,50 applicants,Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",Software Development and IT Services and IT Consulting
Netsuite Developer,data analyst,Accolite,"Bengaluru, Karnataka, India",2 hours ago,,Mid-Senior level,Full-time,Engineering,Software Development
ERP Assoc Engineer,data analyst,Cargill,"Bengaluru, Karnataka, India",5 hours ago,40 applicants,Entry level,Full-time,"Consulting, Information Technology, and Sales","Food and Beverage Services, Chemical Manufacturing, and Food and Beverage Manufacturing"
Firmware Engineer - UEFI,data analyst,Lenovo,"Bangalore Urban, Karnataka, India",5 hours ago,68 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Lead Power BI Developer,data analyst,Conduent,"Bengaluru, Karnataka, India",5 hours ago,70 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Math Research Analyst,data analyst,Turing,Greater Chennai Area,4 hours ago,,Entry level,Full-time,"Research, Analyst, and Information Technology",Software Development
EbizON_ PHP/Wordpress Developer_ Noida,data analyst,EbizON,"Noida, Uttar Pradesh, India",22 hours ago,38 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Senior Data Quality Assurance Analyst,data analyst,AstraZeneca,"Chennai, Tamil Nadu, India",22 hours ago,,Associate,Full-time,Quality Assurance,Pharmaceutical Manufacturing
"Technical Lead, gt.school (Remote) - $200,000/year USD",data analyst,Crossover,Mumbai Metropolitan Region,6 hours ago,,Mid-Senior level,Full-time,Engineering,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet"
Engineer-Windows Systems,data analyst,Navisite,India,5 hours ago,,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Senior Analyst III Technology Operations,data analyst,Walmart Global Tech India,"Bengaluru, Karnataka, India",17 hours ago,121 applicants,Mid-Senior level,Full-time,Information Technology,Software Development
"Analyst 2, Business Applications Salesforce Developer.",data analyst,Western Digital,"Bengaluru, Karnataka, India",5 hours ago,,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing"
Application Developer,data analyst,Accenture in India,"Bengaluru, Karnataka, India",4 hours ago,,Entry level,Full-time,Information Technology and Engineering,IT Services and IT Consulting
Cloud SA – GenAI & Cloud,data analyst,EPAM Systems,"Pune, Maharashtra, India",5 hours ago,30 applicants,Mid-Senior level,Full-time,"Business Development, Information Technology, and Engineering",Software Development and IT Services and IT Consulting
Machine Learning Engineer,data analyst,LTIMindtree,"Bengaluru, Karnataka, India",10 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Development Specialist,data analyst,KPIT,"Bengaluru, Karnataka, India",22 hours ago,32 applicants,Mid-Senior level,Full-time,Engineering,Software Development
Firmware Engineer - BMC,data analyst,Lenovo,"Bangalore Urban, Karnataka, India",5 hours ago,47 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Lead Snowflake Developer,data analyst,Nice Software Solutions Pvt. Ltd.,"Pune, Maharashtra, India",9 hours ago,38 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Azure Developer,data analyst,Innova ESI,"Bengaluru, Karnataka, India",8 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Shopify Developer,data analyst,Truelancer.com,"Hyderabad, Telangana, India",10 hours ago,39 applicants,Entry level,Full-time,Information Technology,Staffing and Recruiting
SFDC Developer,data analyst,NTT DATA North America,"Hyderabad, Telangana, India",21 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Shopify Developer,data analyst,Truelancer.com,"Hyderabad, Telangana, India",3 hours ago,,Associate,Full-time,Engineering and Information Technology,Staffing and Recruiting
Shopify Developer,data analyst,Truelancer.com,"Hyderabad, Telangana, India",3 hours ago,,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Cloud SA – GenAI & Cloud,data analyst,EPAM Systems,"Chennai, Tamil Nadu, India",5 hours ago,,Mid-Senior level,Full-time,"Business Development, Information Technology, and Engineering",Software Development and IT Services and IT Consulting
Developer,data analyst,Wipro,"Bengaluru, Karnataka, India",23 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Sr. Technical Business Analyst,data analyst,EPAM Systems,"Pune, Maharashtra, India",5 hours ago,129 applicants,Associate,Full-time,"Information Technology, Research, and Business Development",Software Development and IT Services and IT Consulting
Shopify Developer,data analyst,Truelancer.com,"Hyderabad, Telangana, India",9 hours ago,,Entry level,Full-time,Information Technology,Staffing and Recruiting
Cloud SA – GenAI & Cloud,data analyst,EPAM Systems,"Bangalore Urban, Karnataka, India",5 hours ago,35 applicants,Mid-Senior level,Full-time,"Business Development, Information Technology, and Engineering",IT Services and IT Consulting and Software Development
ERPnxt developer,data analyst,Whizz HR,"Bengaluru, Karnataka, India",6 hours ago,,Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Cloud Platform Engineer - C,data analyst,Capgemini,"Bengaluru East, Karnataka, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Salesforce Developer,data analyst,NR Consulting,"Kochi, Kerala, India",10 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Associate Senior Information Security Analyst,data analyst,Global Payments Inc.,"Pune, Maharashtra, India",5 hours ago,121 applicants,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Financial Services
Lead Cloud GCP Systems Engineer,data analyst,EPAM Systems,"Hyderabad, Telangana, India",5 hours ago,26 applicants,Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",IT Services and IT Consulting and Software Development
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Python Developer, Data science, ML, AI, Django, freshers",data analyst,AMAR TECHNOLABS PRIVATE LIMITED,"Ahmedabad, Gujarat, India",11 hours ago,,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Python Software Engineer (AI),data analyst,Procter & Gamble,Mumbai Metropolitan Region,5 hours ago,,Not Applicable,Full-time,"Project Management, Design, and Information Technology",Manufacturing
"Presales Systems Engineer, (Delhi based)",data analyst,Palo Alto Networks,"Delhi Cantonment, Delhi, India",5 hours ago,,Associate,Full-time,Sales,Computer and Network Security
Senior Analyst,data analyst,iQuanti,"Bengaluru, Karnataka, India",,,Mid-Senior level,Full-time,Business Development and Sales,Advertising Services
OnBase Developer,data analyst,Appzlogic,India,6 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Lead Cloud GCP Systems Engineer,data analyst,EPAM Systems,"Chennai, Tamil Nadu, India",5 hours ago,,Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",IT Services and IT Consulting and Software Development
Cloud Platform Engineer - C,data analyst,Capgemini,"Chennai, Tamil Nadu, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Odoo Developer - Python/Javascript,data analyst,Gloify,"Bengaluru, Karnataka, India",23 hours ago,,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media"
Engineer – Data Driven Services,data analyst,Deutsche Bank,"Pune, Maharashtra, India",16 hours ago,,Not Applicable,Full-time,Information Technology,Financial Services
Lead Systems Engineer (DevOps & SRE),data analyst,EPAM Systems,"Pune, Maharashtra, India",5 hours ago,45 applicants,Mid-Senior level,Full-time,"Engineering, Information Technology, and Business Development",IT Services and IT Consulting and Software Development
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Cloud Platform Engineer - C,data analyst,Capgemini,"Pune, Maharashtra, India",1 hour ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Senior Big Data Engineer Freelancer,data analyst,Sufalam Technologies,"Bengaluru, Karnataka, India",9 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Python Developer + AWS + SQL IRC234685,data analyst,GlobalLogic,"Noida, Uttar Pradesh, India",5 hours ago,,Director,Full-time,Engineering,Software Development
Application Engineer,data analyst,Applied Materials,"Bengaluru East, Karnataka, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing"
Developer,data analyst,Wipro,"Bengaluru, Karnataka, India",23 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Oracle Fusion Business System Analyst,data analyst,Coforge,"Hyderabad, Telangana, India",10 hours ago,,Associate,Full-time,Information Technology,IT Services and IT Consulting
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",data analyst,Crossover,"Pune, Maharashtra, India",5 hours ago,,Mid-Senior level,Full-time,Engineering,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
Developer,data analyst,Wipro,"Bengaluru, Karnataka, India",23 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Application Security Engineer,data analyst,Keysight Technologies,"Gurugram, Haryana, India",12 hours ago,25 applicants,Not Applicable,Full-time,Information Technology,"Appliances, Electrical, and Electronics Manufacturing"
Python Developer,data analyst,Htree HR Consultants Private Limited,"Kochi, Kerala, India",10 hours ago,43 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources
Applications Engineer II,data analyst,Arrow Electronics,"Pune, Maharashtra, India",21 hours ago,,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Wholesale"
Data & Applied Scientist II,data analyst,Microsoft,"Bengaluru, Karnataka, India",3 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,Software Development
Sr. Planner,data analyst,Ecolab,"Pune, Maharashtra, India",20 hours ago,,Mid-Senior level,Full-time,Supply Chain,Chemical Manufacturing
Enterprise Engineer,data analyst,Blackhawk Network,"Bengaluru, Karnataka, India",2 hours ago,,Entry level,Full-time,Information Technology,Financial Services
Oracle E-Business Suite (EBS) Developer - Technical,data analyst,Tata Consultancy Services,"Kolkata, West Bengal, India",11 hours ago,33 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Security Engineer,data analyst,Decathlon Sports India,"Bengaluru, Karnataka, India",22 hours ago,,Mid-Senior level,Full-time,Information Technology,Retail
Divisional Risk and Control Senior Analyst,data analyst,Deutsche Bank,"Mumbai, Maharashtra, India",4 hours ago,,Not Applicable,Full-time,Management and Manufacturing,Financial Services
