Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries,Nivel de antigüedad,Tipo de empleo,Función laboral,Sectores
Staff Machine Learning Platform Engineer - Remote,data scientist,Clari,San Francisco Bay Area,6 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,Software Development
TS/SCI w/Poly - AI/ML Software Engineer (McLean location),data scientist,Leading Path Consulting,"McLean, VA",5 hours ago,,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
Data Scientist,data scientist,Dice,"Redmond, WA",2 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Software Engineer II, Data Platform",data scientist,Included Health,United States,11 hours ago,,Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
Data Scientist & Implementation Specialist,data scientist,Cherokee Federal,"Silver Spring, MD",10 hours ago,124 applicants,Entry level,Full-time,Engineering and Information Technology,Business Consulting and Services
Retail Data Scientist,data scientist,Capitol Federal® Savings Bank,"Topeka, KS",4 hours ago,28 applicants,Entry level,Full-time,Engineering and Information Technology,Banking
Principal Python Engineer,data scientist,Aim4Hire,"Austin, Texas Metropolitan Area",4 hours ago,43 applicants,Mid-Senior level,Full-time,Engineering,Software Development and Hospitals and Health Care
Solutions Engineer - Ecosystem,data scientist,Canva,"San Francisco, CA",18 hours ago,65 applicants,Mid-Senior level,Full-time,Other,Software Development
"AI, ML Lead Engineer",data scientist,Pearson,"Phoenix, AZ",38 minutes ago,,Not Applicable,Full-time,Engineering and Information Technology,Education Administration Programs and E-Learning Providers
Software Engineer Fullstack & AI/ML,data scientist,AVEVA,"Lake Forest, CA",11 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Senior Scientist-Next Generation Sequencing ,data scientist,"Commonwealth Sciences, Inc.",Greater Boston,1 hour ago,91 applicants,Mid-Senior level,Full-time,Science and Research,Staffing and Recruiting
Senior Data Scientist,data scientist,Amplify Life Insurance,San Francisco Bay Area,1 hour ago,26 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Insurance
Senior Python Developer,data scientist,Ascyndent,"Plano, TX",9 hours ago,154 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Performance Engineer,data scientist,Centric Software,United States,2 hours ago,159 applicants,Entry level,Full-time,Engineering and Information Technology,Software Development
"AI, ML Lead Engineer",data scientist,Pearson,"Oklahoma City, OK",39 minutes ago,,Not Applicable,Full-time,Engineering and Information Technology,Education Administration Programs and E-Learning Providers
Development Engineer,data scientist,Panduit,"Tinley Park, IL",4 hours ago,,Associate,Full-time,Engineering and Information Technology,"Appliances, Electrical, and Electronics Manufacturing"
Senior Software Engineer II - AI/ML,data scientist,"Aledade, Inc.","Austin, TX",16 hours ago,38 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care
Junior iOS Developer,data scientist,Patterned Learning Career,"Hilo, HI",9 hours ago,,Entry level,Full-time,Information Technology,Software Development
Software Engineer Fullstack & AI/ML,data scientist,AVEVA,"Chicago, IL",11 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Data Scientist Intern (Product Analytics, USDS)- 2025 Summer (BS/MS)",data scientist,TikTok,"Los Angeles, CA",7 hours ago,67 applicants,Not Applicable,Full-time,"Research, Information Technology, and Engineering",Entertainment Providers
Jr. Software Engineer,data scientist,Maxar Technologies,"Ypsilanti, MI",2 hours ago,92 applicants,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
"AI, ML Lead Engineer",data scientist,Pearson,"Denver, CO",39 minutes ago,,Not Applicable,Full-time,Engineering and Information Technology,Education Administration Programs and E-Learning Providers
"Artificial Intelligence Engineer, Trilogy (Remote) - $100,000/year USD",data scientist,Crossover,"New York, United States",12 hours ago,187 applicants,Associate,Full-time,"Education, Engineering, and Information Technology","Software Development, IT Services and IT Consulting, and Technology, Information and Internet"
Pharma Biotech Data Scientist Assoc Dir,data scientist,Guidehouse,"New York, NY",10 hours ago,49 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
Python Engineer,data scientist,Jobot,"Houston, TX",8 hours ago,35 applicants,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
"Machine Learning Operations Engineer II  (PySpark, Python, R)",data scientist,RemoteWorker CA,"Northbridge, MA",15 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
React Developer,data scientist,Synechron,"Kennesaw, GA",4 hours ago,131 applicants,Mid-Senior level,Full-time,"Information Technology, Engineering, and Other","Banking, Financial Services, and IT Services and IT Consulting"
Lead Data Scientist,data scientist,HCA Healthcare,"Nashville, TN",23 hours ago,,Mid-Senior level,Full-time,Information Technology and Health Care Provider,Hospitals and Health Care
"Lead, Data Scientist",data scientist,hims & hers,"Boston, MA",42 minutes ago,,Not Applicable,Full-time,Engineering and Information Technology,Wellness and Fitness Services
Satellite Engineer,data scientist,Fintech Staffing Partners,United States,4 hours ago,32 applicants,Not Applicable,Full-time,Engineering,Telecommunications
Data Science and Operations Research Enablement Principal,data scientist,FedEx Dataworks,"Memphis, TN",18 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Lead Python Developer,data scientist,Cloud7Works,United States,6 hours ago,191 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
"Lead, Data Scientist",data scientist,hims & hers,"Austin, Texas Metropolitan Area",43 minutes ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Wellness and Fitness Services
"Lead, Data Scientist",data scientist,hims & hers,"Seattle, WA",43 minutes ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Wellness and Fitness Services
Advanced Pilot Assistant Software - Autonomy/Robotics - Staff or Senior,data scientist,Beacon AI,"San Carlos, CA",14 hours ago,,Mid-Senior level,Full-time,Management and Manufacturing,Internet Publishing
Consulting ML Ops Engineer,data scientist,HCA Healthcare,"Nashville, TN",23 hours ago,,Mid-Senior level,Full-time,Information Technology and Health Care Provider,Hospitals and Health Care
Data & Analytics Solution Engineer,data scientist,Pine Gate Renewables,"Charlotte, NC",20 hours ago,134 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Machine Learning Operations Engineer II  (PySpark, Python, R)",data scientist,RemoteWorker CA,"Somerset, MA",15 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Junior Frontend Engineer (JavaScript/HTML/CSS),data scientist,Patterned Learning Career,"Hilo, HI",9 hours ago,36 applicants,Entry level,Full-time,Information Technology,Software Development
Junior Application Engineer,data scientist,HireMeFast LLC,"Orem, UT",9 hours ago,,Entry level,Full-time,Information Technology,Software Development
"Principal Engineer, ML - Remote",data scientist,CarMax,"Richmond, VA",3 hours ago,,Mid-Senior level,Full-time,"General Business, Analyst, and Information Technology","Retail, Motor Vehicle Manufacturing, and IT Services and IT Consulting"
